AJ517414	Bacteria;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;
AJ518871	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Anaerofustis;
AJ535711	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Stellaceae;Stella;
AJ549086	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;
AJ558133	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Intrasporangiaceae;Arsenicicoccus;
AJ561121	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Reinekea;
AJ563932	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Beijerinckia;
AJ609556	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;
AJ621613	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
DQ490004	Bacteria;Armatimonadota;Armatimonadota_incertae_sedis;Armatimonadota_incertae_sedis;Armatimonadota_incertae_sedis;Armatimonadetes_gp7;
AY193128	Bacteria;Microgenomates;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_genera_incertae_sedis;
AF268996	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AF145827	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AF268999	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AJ007013	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;
X76329	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;
X76565	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;
X77439	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Rathayibacter;
X77835	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae_1;Clostridium_sensu stricto;
Y18411	Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;
Y18791	Bacteria;Cyanobacteriota;Cyanophyceae;Spirulinales;Spirulinaceae;Halospirulina;
Y19167	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Schleiferilactobacillus;
AY462044	Bacteria;Actinomycetota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;
AY532690	Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;
AF191735	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Streptosporangium;
HG315620	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;
AM230677	Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Rivulariaceae;Rivularia;
AB184349	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
AB184395	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
AB184445	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
AB184648	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
AB184673	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
M58795	Bacteria;Bacteroidota;Saprospiria;Saprospirales;Saprospiraceae;Saprospira;
AB201309	Archaea;Diapherotrites;Diapherotrites_incertae_sedis;Diapherotrites_incertae_sedis;Diapherotrites_incertae_sedis;Diapherotrites_Incertae Sedis AR10;
gwa2_scaffold_1731_16S_1	Archaea;Woesearchaeota;Woesearchaeota_incertae_sedis;Woesearchaeota_incertae_sedis;Woesearchaeota_incertae_sedis;Woesearchaeota_Incertae Sedis AR16;
